model,charger_id,make,model_variant,price,price_src,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,details_link,spec_src,img,has_discount,discount_value,discount_code,certifications,volts_ac,kw_ac,incentives
HCS-40,ClipperCreek_HCS_40_,Enphase,,732,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-40-ev-charger,32.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-40-ev-charger,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-40-ev-charger,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-40.png,False,0,,"cETL, Energy Star, ETL",240.0,7.7,[]
HCS-40,ClipperCreek_HCS_40_P,Enphase,P,648,https://enphase.com/store/ev-chargers/residential-ev-chargers/clippercreek-hcs-40p-nema-6-50-plug-32,32.0,Wall mounted,25,"6-50,14-50",J1772,False,3,True,True,https://enphase.com/store/results?name=hcs-40-c13-p&sku=hcs-40-c13-p&description=hcs-40-c13-p&parent_name=hcs-40-c13-p&parent_sku=hcs-40-c13-p&parent_description=hcs-40-c13-p,https://enphase.com/store/ev-chargers/residential-ev-chargers/clippercreek-hcs-40p-nema-6-50-plug-32,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-40%20P.png,False,0,,"cETL, Energy Star, ETL",240.0,7.7,[]
LCS-20,ClipperCreek_LCS_20_P,Enphase,P,336,https://enphase.com/store/results?name=lcs-20P&sku=lcs-20P&description=lcs-20P&parent_name=lcs-20P&parent_sku=lcs-20P&parent_description=lcs-20P,16.0,Wall mounted,25,"6-50, 14-30, 14-50",J1772,False,3,True,True,https://enphase.com/store/ev-chargers/clippercreek-lcs-20p-ev-charger-nema-6-50-plug-16,https://enphase.com/store/ev-chargers/clippercreek-ev-chargers/clippercreek-lcs-20p-ev-charger-nema-14-30-plug-16,https://assets.zappyride.com/img/chargers/ClipperCreek%20LCS-20%20P.png,False,0,,"cETL, cUL, Energy Star, ETL, UL",240.0,3.8,[]
HCS-50,ClipperCreek_HCS_50_,Enphase,,809,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-50-ev-charger,40.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-50-ev-charger,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-50-ev-charger,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-50.png,False,0,,"cETL, Energy Star, ETL",240.0,9.6,[]
HCS-60,ClipperCreek_HCS_60_,Enphase,,1099,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-60-ev-charger,48.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-60-ev-charger,https://enphase.com/store/ev-chargers/commercial-ev-chargers/hcs-60-ev-charger,https://assets.zappyride.com/img/chargers/ClipperCreek%20HCS-60.png,False,0,,"cETL, Energy Star, ETL",240.0,11.5,[]
VersiCharge,Siemens_VersiCharge__VC30GRYU,Siemens,VC30GRYU,1094,https://www.amazon.com/dp/B00MFVI8UG/ref=sspa_dk_detail_0?pd_rd_i=B00MFVI8UG&pd_rd_wg=TR0cG&pd_rd_r=3J9NGFYCGKN3HMJPMXEP&pd_rd_w=VFqV7&th=1,30.0,Wall mounted,20,6-50,J1772,False,3,True,False,https://www.amazon.com/dp/B00MFVI92S/ref=as_li_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00AAKQWKM&linkCode=as2&tag=recargo-20&linkId=F5LSCR5OQTWC4CLP,https://new.siemens.com/us/en/products/energy/topics/transportation-electrification/versicharge-solutions.html,https://assets.zappyride.com/img/chargers/Siemens_VersiCharge%20VC30GRYU.png,False,0,,UL,240.0,7.2,[]
EV AC,Delta_EV_AC_30_Amp_18_inch,Delta,30A 18' Networked,960,https://www.evchargesolutions.com/Delta-30-Amp-EV-RFID-Charging-Station-p/evmu3015mws.htm,30.0,Wall mounted,18,Hardwired,J1772,True,3,False,False,https://www.evchargesolutions.com/Delta-30-Amp-EV-RFID-Charging-Station-p/evmu3015mws.htm,,https://assets.zappyride.com/img/chargers/Delta%20EV%20AC.png,False,0,,"cUL, UL",240.0,7.2,[]
Wall Wattz,WattZilla_Wall_Wattz_40_AMP,WattZilla,40-AMP,999,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,40.0,Wall mounted,25,"14-50, Hardwired",J1772,False,1,True,True,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,https://assets.zappyride.com/img/chargers/WattZilla%20WallWatts.png,False,0,,UL,240.0,9.6,[]
Wall Wattz,WattZilla_Wall_Wattz_48_AMP,WattZilla,48-AMP,1249,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,48.0,Wall mounted,25,"14-60, Hardwired",J1772,False,1,True,True,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,https://www.wattzilla.com/shop/index.htm#!/Wall-Wattz/p/75672364/category=0,https://assets.zappyride.com/img/chargers/WattZilla%20WallWatts.png,False,0,,UL,240.0,11.5,[]
Black Mamba,WattZilla_Black_Mamba_40_AMP,WattZilla,40-AMP,1099,https://www.wattzilla.com/shop/index.htm#!/Black-Mamba/p/75672371/category=0,40.0,Portable,25,14-50,J1772,False,1,False,True,https://www.wattzilla.com/shop/index.htm#!/Black-Mamba/p/75672371/category=0,https://www.wattzilla.com/shop/index.htm#!/Black-Mamba/p/75672371/category=0,https://assets.zappyride.com/img/chargers/WattZilla%20Black%20Mamba.png,False,0,,"cUL, UL",240.0,9.6,[]
