title,price,mileage,transmission,location,year,brand,model,price_clean,mileage_clean,year_clean
2017 Kia Soul EV Plug In Electric,"$16,499","13,359 km",Automatic,Brantford,2017,Kia,Soul EV,16499.0,13359.0,2017.0
2021 Porsche Taycan Tech|Premium|Off-Road Design,"$109,998","19,970 km",Automatic,London,2021,Porsche,Taycan Tech|Premium|Off-Road,109998.0,19970.0,2021.0
"2023 Chevrolet Bolt EUV LT rue North, Leather, Cooled +","$32,988","20,913 km",Automatic,Guelph,2023,Chevrolet,Bolt EUV,32988.0,20913.0,2023.0
2024 Hyundai IONIQ 5 Preferred | AWD | LANE KEEP ASSIST,Please Contact,12 km,Automatic,Sherwood Park,2024,Hyundai,IONIQ 5,,12.0,2024.0
2024 Audi Q4 e-tron,"$61,977","17,200 km",Automatic,Sherbrooke,2024,Audi,Q4 e-tron,61977.0,17200.0,2024.0
2024 Kia EV6 Land w/GT-Line Pkg 1 - Power Liftgate,"$63,279",50 km,Automatic,Scarborough,2024,Kia,EV6 Land,63279.0,50.0,2024.0
2023 Hyundai Kona Electric Preferred | Heated Seats,"$36,891","19,163 km",Automatic,Mississauga,2023,Hyundai,Kona Electric,36891.0,19163.0,2023.0
2023 Hyundai IONIQ 5 Preferred | AWD | Electric,"$46,593","22,627 km",Automatic,Mississauga,2023,Hyundai,IONIQ 5,46593.0,22627.0,2023.0
2022 Hyundai IONIQ 5 Preferred | RWD | Electric,"$44,482","6,609 km",Automatic,Mississauga,2022,Hyundai,IONIQ 5,44482.0,6609.0,2022.0
2022 Audi E-TRON **PROMO** PROGRESSIV DRIVER ASSIST,"$60,995","30,859 km",Automatic,Laval,2022,Audi,E-TRON **PROMO**,60995.0,30859.0,2022.0
2023 Hyundai IONIQ 6 Preferred | AWD | Electric,"$41,453","35,679 km",Automatic,Mississauga,2023,Hyundai,IONIQ 6,41453.0,35679.0,2023.0
2023 Hyundai IONIQ 6 Preferred | AWD | Electric,"$50,493","11,112 km",Automatic,Mississauga,2023,Hyundai,IONIQ 6,50493.0,11112.0,2023.0
2020 Tesla MODEL 3 Long Range AWD AUTOPILOT DUAL MOTOR,"$38,995","74,920 km",Automatic,Longueuil,2020,Tesla,MODEL 3,38995.0,74920.0,2020.0
2024 Mercedes-Benz ESprinter 170 Wheelbase High Roof RWD,"$117,725",90 km,Automatic,Laval,2024,Mercedes-Benz,ESprinter 170,117725.0,90.0,2024.0
2024 Chevrolet Blazer EV RS,"$61,097",10 km,,Calgary,2024,Chevrolet,Blazer EV,61097.0,10.0,2024.0
2025 Jeep Grand Cherokee 4xe 4x4 for sale,"$63,310",10 km,Automatic,Medicine Hat,2025,Jeep,Grand Cherokee,63310.0,10.0,2025.0
2023 Jeep Grand Cherokee 4xe Summit Reserve 4x4 for sale,"$85,038",575 km,Automatic,Medicine Hat,2023,Jeep,Grand Cherokee,85038.0,575.0,2023.0
2024 Jeep Wrangler 4xe Willys 4 Door 4x4 for sale,"$61,670",30 km,Automatic,Medicine Hat,2024,Jeep,Wrangler 4xe,61670.0,30.0,2024.0
2016 Nissan Leaf,"$9,740","88,150 km",Automatic,Montreal,2016,Nissan,Leaf ,9740.0,88150.0,2016.0
2017 Nissan Leaf S CERTIFIED WITH 3 YEARS WARRANTY INCLUDED.,"$9,490","100,359 km",Automatic,Woodbridge,2017,Nissan,Leaf S,9490.0,100359.0,2017.0
2024 Nissan Ariya Engage FWD,"$53,753",1 km,Automatic,Calgary,2024,Nissan,Ariya Engage,53753.0,1.0,2024.0
2024 Audi Q4 e-tron Sportback,"$84,090",33 km,Automatic,Laval,2024,Audi,Q4 e-tron,84090.0,33.0,2024.0
2022 Ford Mustang Mach-E Premium | Glass Roof | One Pedal Drive,"$35,946","90,074 km",Automatic,Windsor,2022,Ford,Mustang Mach-E,35946.0,90074.0,2022.0
2017 Kia Soul EV Plug In Electric,"$16,499","13,359 km",Automatic,Brantford,2017,Kia,Soul EV,16499.0,13359.0,2017.0
2024 Cadillac LYRIQ Sport EV AWD | Adaptive Cruise,"$80,867",439 km,Automatic,Winnipeg,2024,Cadillac,LYRIQ Sport,80867.0,439.0,2024.0
2024 Cadillac LYRIQ Tech EV AWD Lane Keep Assist | Heated Seats,"$72,363",351 km,Automatic,Winnipeg,2024,Cadillac,LYRIQ Tech,72363.0,351.0,2024.0
2024 Cadillac LYRIQ Tech EV AWD | Heated Seat | Lane Keep,"$74,892",48 km,Automatic,Winnipeg,2024,Cadillac,LYRIQ Tech,74892.0,48.0,2024.0
2021 Tesla Model Y Standard Range | Sunroof | Navigation,"$43,996","55,536 km",Automatic,Abbotsford,2021,Tesla,Model Y,43996.0,55536.0,2021.0
2020 Tesla Model 3 Standard Range Plus | Wireless Charging,"$31,993","95,423 km",Automatic,Abbotsford,2020,Tesla,Model 3,31993.0,95423.0,2020.0
2024 Chevrolet Equinox EV RS,"$52,002",10 km,,Calgary,2024,Chevrolet,Equinox EV,52002.0,10.0,2024.0
2021 Tesla Model 3 PERFORMANCE AWD | BC ONLY | ADAPTIVE CRUISE,"$46,764","70,501 km",Automatic,Chilliwack,2021,Tesla,Model 3,46764.0,70501.0,2021.0
"2022 Kia Niro EV EX+, POMPE À CHALEUR, 385 KM AUTONOMIE ICI PAS","$28,595","54,646 km",Automatic,Mirabel,2022,Kia,Niro EV,28595.0,54646.0,2022.0
2022 Tesla MODEL 3 2022 TESLA 3 PERFORMANCE  *  180$/SEM  *  DUA,"$53,995","42,000 km",Automatic,Lemoyne,2022,Tesla,MODEL 3,53995.0,42000.0,2022.0
"2021 MINI 3 Portes Cooper SE, Premier Line, Toit Pano","$21,449","77,525 km",Automatic,Laval,2021,MINI,3 Portes,21449.0,77525.0,2021.0
2024 Audi Q8 e-tron Sportback,"$85,900","8,789 km",Automatic,Edmonton,2024,Audi,Q8 e-tron,85900.0,8789.0,2024.0
2022 Volvo C40 Recharge Pure Electric Ultimate TWIN | ÉLECTRIQUE,"$51,888","18,371 km",Automatic,Brossard,2022,Volvo,C40 Recharge,51888.0,18371.0,2022.0
2024 Chevrolet Blazer EV 2LT,"$54,097",10 km,,Calgary,2024,Chevrolet,Blazer EV,54097.0,10.0,2024.0
2024 Mercedes-Benz EQE EQE 350 4MATIC,"$119,433",90 km,Automatic,Montreal,2024,Mercedes-Benz,EQE EQE,119433.0,90.0,2024.0
2018 Tesla Model 3 Long Range AWD- ACCLERATION BOOST|FULL Self D,"$38,995","72,766 km",Automatic,Saskatoon,2018,Tesla,Model 3,38995.0,72766.0,2018.0
2024 Kia EV6 Land AWD | Nav | Safety Tech | 12.3 Screen,"$59,997","8,230 km",Automatic,Guelph,2024,Kia,EV6 Land,59997.0,8230.0,2024.0
2024 Chevrolet Blazer EV 2LT,"$54,692",10 km,,Calgary,2024,Chevrolet,Blazer EV,54692.0,10.0,2024.0
2024 GMC HUMMER EV SUV 2X 0% Financing up to 60 Months OAC,"$128,172",500 km,Automatic,Grande Prairie,2024,GMC,HUMMER EV,128172.0,500.0,2024.0
2024 GMC HUMMER EV SUV 3X 0% Financing up to 60 Months OAC,"$165,422",500 km,Automatic,Grande Prairie,2024,GMC,HUMMER EV,165422.0,500.0,2024.0
2024 GMC HUMMER EV Pickup 3X 0% Financing up to 60 Months OAC,"$178,922",500 km,Automatic,Grande Prairie,2024,GMC,HUMMER EV,178922.0,500.0,2024.0
2024 GMC HUMMER EV Pickup 2X 0% Financing up to 60 Months OAC,"$128,127",500 km,Automatic,Grande Prairie,2024,GMC,HUMMER EV,128127.0,500.0,2024.0
2023 Tesla Model 3 | Black Leather | Glass Roof | Autopilot,"$42,795","33,918 km",Automatic,Pitt Meadows,2023,Tesla,Model 3,42795.0,33918.0,2023.0
2023 BMW i4 eDrive35,"$50,995","24,656 km",Automatic,Ottawa,2023,BMW,i4 eDrive35,50995.0,24656.0,2023.0
2020 Tesla Model X LOADED LONG-RANGE-EDITION 5 PASSENGER 398-kW-,"$69,995","71,000 km",Automatic,Bradford,2020,Tesla,Model X,69995.0,71000.0,2020.0
"2023 Chevrolet Bolt EUV LT rue North, Leather, Cooled +","$32,988","20,913 km",Automatic,Guelph,2023,Chevrolet,Bolt EUV,32988.0,20913.0,2023.0
2024 Hyundai Kona Electric Ultimate | Leather | Remote Start,"$38,989","13,712 km",Automatic,Saskatoon,2024,Hyundai,Kona Electric,38989.0,13712.0,2024.0
2016 Tesla Model S 70D|HIGHWAYAUTOPILOT|NAV|AIRSUSPENSION|ALLHEA,"$22,995","182,351 km",Automatic,North York,2016,Tesla,Model S,22995.0,182351.0,2016.0
2024 GMC HUMMER EV SUV EDITION 1 0% Financing up to 60 Months OA,"$145,032",501 km,Automatic,Grande Prairie,2024,GMC,HUMMER EV,145032.0,501.0,2024.0
2018 Ford Focus Electric //SEULEMENT 83298 km NAVIGATION // CAME,"$10,995","83,298 km",Automatic,Pincourt,2018,Ford,Focus Electric,10995.0,83298.0,2018.0
2020 tesla model 3 Standard Range Plus,"$34,600","66,085 km",Automatic,Edmonton,2020,tesla,model 3,34600.0,66085.0,2020.0
2024 Kia EV6 GTLINE | 500KM Range | Electric | Digital Dash,"$60,788","2,635 km",Automatic,Maple Ridge,2024,Kia,EV6 GTLINE,60788.0,2635.0,2024.0
2023 Genesis Electrified G80 Prestige,"$66,421","3,105 km",Automatic,Saskatoon,2023,Genesis,Electrified G80,66421.0,3105.0,2023.0
2024 Chevrolet Blazer EV RS,"$61,097",10 km,,Calgary,2024,Chevrolet,Blazer EV,61097.0,10.0,2024.0
2024 Chevrolet Blazer EV RS,"$61,692",19 km,,Calgary,2024,Chevrolet,Blazer EV,61692.0,19.0,2024.0
2021 MINI Cooper SE FWD | Classique | Semi-cuir noir carb,"$22,969","52,708 km",Automatic,Montreal,2021,MINI,Cooper SE,22969.0,52708.0,2021.0
2022 Audi e-tron GT PREMPLS | Remote Park | Top View Cams | Pre,"$84,776","8,899 km",Automatic,Pitt Meadows,2022,Audi,e-tron GT,84776.0,8899.0,2022.0
2024 Chevrolet Blazer EV 2LT,"$54,097",10 km,,Calgary,2024,Chevrolet,Blazer EV,54097.0,10.0,2024.0
2023 Kia Niro EV Limited ICI PAS DE CACHETTE,"$45,776","3,621 km",Automatic,Mirabel,2023,Kia,Niro EV,45776.0,3621.0,2023.0
2024 Cadillac LYRIQ Tech,"$70,789",8 km,,Edmonton,2024,Cadillac,LYRIQ Tech,70789.0,8.0,2024.0
2024 Chevrolet Equinox EV RS,"$56,967",10 km,,Calgary,2024,Chevrolet,Equinox EV,56967.0,10.0,2024.0
31 MONTH LEASE 2023 BMW i4 eDRIVE35 4 SERIES,Please Contact,"17,999 km",Automatic,Toronto,31,MONTH,LEASE 2023,,17999.0,31.0
Tesla model S 2015 / superchargements gratuit illimités,"$29,995","175,000 km",,Québec City,Tesla,model,S 2015,29995.0,175000.0,
2024 Chevrolet Equinox EV RS,"$52,002",10 km,,Calgary,2024,Chevrolet,Equinox EV,52002.0,10.0,2024.0
2024 Chevrolet Equinox EV RS,"$51,327",10 km,,Calgary,2024,Chevrolet,Equinox EV,51327.0,10.0,2024.0
2024 Chevrolet Equinox EV RS,"$52,022",11 km,,Calgary,2024,Chevrolet,Equinox EV,52022.0,11.0,2024.0
2018 BMW i3,"$19,999","48,988 km",Automatic,Calgary,2018,BMW,i3 ,19999.0,48988.0,2018.0
2024 GMC HUMMER EV Pickup 2X,"$126,627","4,927 km",,Calgary,2024,GMC,HUMMER EV,126627.0,4927.0,2024.0
2024 GMC Hummer EV SUV 3X,"$141,942",26 km,,Canmore,2024,GMC,Hummer EV,141942.0,26.0,2024.0
2016 Nissan Leaf,"$7,950","104,725 km",Automatic,Quebec,2016,Nissan,Leaf ,7950.0,104725.0,2016.0
2018 Ford Focus Electric AUTO A/C CAMERA GROUPE ÉLECTRIQUE,"$11,495","66,154 km",Automatic,Valleyfield,2018,Ford,Focus Electric,11495.0,66154.0,2018.0
2024 Cadillac LYRIQ Sport,"$76,647",0 km,,Calgary,2024,Cadillac,LYRIQ Sport,76647.0,0.0,2024.0
