model,make,model_variant,price,amps,form_factor,cord_length,home_outlet,plug_types,wifi,warranty,safe_outdoors,made_in_america,has_discount,certifications,volts_ac,kw_ac
HCS-40,Enphase,,732,32.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,7.7
HCS-40,Enphase,P,648,32.0,Wall mounted,25,"6-50,14-50",J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,7.7
LCS-20,Enphase,P,336,16.0,Wall mounted,25,"6-50, 14-30, 14-50",J1772,False,3,True,True,False,"cETL, cUL, Energy Star, ETL, UL",240.0,3.8
HCS-50,Enphase,,809,40.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,9.6
HCS-60,Enphase,,1099,48.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,11.5
VersiCharge,Siemens,VC30GRYU,1094,30.0,Wall mounted,20,6-50,J1772,False,3,True,False,False,UL,240.0,7.2
EV AC,Delta,30A 18' Networked,960,30.0,Wall mounted,18,Hardwired,J1772,True,3,False,False,False,"cUL, UL",240.0,7.2
Wall Wattz,WattZilla,40-AMP,999,40.0,Wall mounted,25,"14-50, Hardwired",J1772,False,1,True,True,False,UL,240.0,9.6
Wall Wattz,WattZilla,48-AMP,1249,48.0,Wall mounted,25,"14-60, Hardwired",J1772,False,1,True,True,False,UL,240.0,11.5
Black Mamba,WattZilla,40-AMP,1099,40.0,Portable,25,14-50,J1772,False,1,False,True,False,"cUL, UL",240.0,9.6
Black Mamba,WattZilla,48-AMP,1199,48.0,Portable,25,14-60,J1772,False,1,False,True,False,"cUL, UL",240.0,11.5
Home X5,FLO,,995,30.0,Wall mounted,25,Hardwired,J1772,True,5,True,False,False,"CSA, Energy Star, UL",240.0,7.2
Home G5,FLO,,795,30.0,Wall mounted,25,Hardwired,J1772,False,5,True,False,False,"CSA, Energy Star, UL",240.0,7.2
HCS-80,Enphase,,1176,64.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,15.4
HCS-D40,Enphase,,1484,32.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,7.7
HCS-D40,Enphase,P,1506,32.0,Wall mounted,25,"6-50, 14-50",J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,7.7
VersiCharge,Siemens,VCSG30GRYUW,1199,30.0,Wall mounted,20,6-50,J1772,True,3,True,False,False,UL,240.0,7.2
TurboDX,Webasto,16 Amp 15',359,16.0,Wall mounted,15,Hardwired,J1772,False,3,True,False,False,"cUL, UL",240.0,3.8
TurboDX,Webasto,16 Amp 25',379,16.0,Wall mounted,25,Hardwired,J1772,False,3,True,False,False,"cUL, UL",240.0,3.8
EV400 Series,Bosch,32A / 25',921,32.0,Wall mounted,25,"6-50, Hardwired",J1772,False,3,True,True,False,UL,264.0,7.6
Home Flex,ChargePoint,,549,50.0,Wall mounted,23,"6-50, 14-50, Hardwired",J1772,True,3,True,False,False,"cUL, Energy Star, UL",240.0,11.5
Wall Wattz,WattZilla,75-AMP,1799,75.0,Wall mounted,25,"14-60, Hardwired",J1772,False,1,True,True,False,"Energy Star, UL",240.0,18.0
DUO,WattZilla,,4195,80.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cUL, Energy Star, UL",240.0,19.2
UNO,WattZilla,,2195,80.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cUL, Energy Star, UL",240.0,19.2
TurboDX,Webasto,32 Amp 15',539,32.0,Wall mounted,15,Hardwired,J1772,False,3,True,False,False,"cUL, Energy Star, UL",240.0,7.6
EV AC,Delta,30A 25' Networked,1025,30.0,Wall mounted,25,Hardwired,J1772,True,3,False,False,False,"cUL, UL",240.0,7.2
EV AC,Delta,40A 25' Networked,1135,40.0,Wall mounted,25,Hardwired,J1772,True,3,False,False,False,"cUL, UL",240.0,9.6
HCS-D50,Enphase,,1627,40.0,Wall mounted,25,Hardwired,J1772,False,3,True,True,False,"cETL, Energy Star, ETL",240.0,9.6
Energy,PowerCharge,18',599,32.0,Wall mounted,18,"6-50, Hardwired",J1772,False,3,True,False,False,"cUL, UL",240.0,7.6
Wall Universal Connector,Tesla,24',450,48.0,Wall mounted,24,Hardwired,"Tesla,NACS",True,4,True,False,False,"cUL, Energy Star, UL",240.0,11.5
Pulsar Plus,Wallbox,40A,649,40.0,Wall mounted,25,"14-50, Hardwired",J1772,True,3,True,False,False,"cUL, UL",240.0,9.6
EVSE,EvoCharge,18',599,32.0,Wall mounted,18,"6-50, Hardwired",J1772,False,3,True,True,False,"cUL, UL",240.0,7.7
EVSE,EvoCharge,25',599,32.0,Wall mounted,25,"6-50, Hardwired",J1772,False,3,True,True,False,"cUL, UL",240.0,7.7
iEVSE,EvoCharge,18',659,32.0,Wall mounted,18,"6-50, Hardwired",J1772,True,3,True,True,False,"cUL, UL",240.0,7.7
iEVSE,EvoCharge,25',599,32.0,Wall mounted,25,"6-50, Hardwired",J1772,True,3,True,True,False,"cUL, UL",240.0,7.7
SmartElek,Smartenit,,499,30.0,Portable,23,6-50,J1772,True,3,True,False,False,"CSA, ETL, UL",240.0,7.2
AW Series,Phihong,LU770,1078,32.0,Wall mounted,16,Hardwired,J1772,True,1,True,False,False,"cUL, FCC, UL",240.0,7.7
Energy,PowerCharge,25',609,32.0,Wall mounted,25,"6-50, Hardwired",J1772,False,3,True,False,False,"cUL, UL",240.0,7.6
Connected Charge Station,Ford,48A,799,48.0,Wall mounted,20,Hardwired,J1772,True,3,True,False,False,ETL,240.0,11.5
CSE1,Cyber Switching,10kW w/ WiFi,1220,40.0,Wall mounted,18,Hardwired,J1772,True,0,True,False,False,"Energy Star, ETL, UL",240.0,10.0
CSE1,Cyber Switching,11.5kW w/ WiFi,1220,48.0,Wall mounted,18,Hardwired,J1772,True,0,True,False,False,"Energy Star, ETL, UL",240.0,11.5
CSE1,Cyber Switching,10kW w/ 4G,1220,40.0,Wall mounted,18,Hardwired,J1772,False,0,True,False,False,"Energy Star, ETL, UL",240.0,10.0
