Make,Model_Version,Electric_Range,Total_Range,Incentives,MSRP
Kia,Niro Plug-In Hybrid EX,55 km,836 km,"$5,000","$38,595"
Fiat,500e Red Edition EV,,227 km,"$5,000","$39,995"
Toyota,Prius Prime SE,72 km,962 km,"$5,000","$39,550"
Nissan,LEAF SV,,240 km,"$5,000","$41,748"
Kia,Sorento Plug-In Hybrid EX,51 km,681 km,"$5,000","$42,975"
Hyundai,TUCSON Plug-In Hybrid Ultimate,53 km,679 km,"$5,000","$43,999"
Mazda,MX-30 GS,,161 km,"$5,000","$42,650"
Toyota,Prius Prime XSE,72 km,816 km,"$5,000","$44,290"
Fiat,500e La Prima EV,,227 km,"$5,000","$44,995"
Kia,Niro EV Wind,,407 km,"$5,000","$45,595"
Hyundai,KONA Electric Preferred,,459 km,"$5,000","$46,499"
Kia,Sportage Plug-In Hybrid EX Premium,55 km,687 km,"$5,000","$46,695"
Ford,Escape Plug-in Hybrid,60 km,831 km,"$5,000","$46,999"
Nissan,LEAF SV-PLUS,,342 km,"$5,000","$47,498"
Chevrolet,Equinox 2LT FWD,,513 km,"$5,000","$48,199"
MINI,Cooper SE 3 Door Premier 2.0,,183 km,"$5,000","$48,190"
Mitsubishi,Outlander PHEV ES S-AWC,61 km,687 km,"$5,000","$48,198"
Toyota,Prius Prime XSE Premium,72 km,816 km,"$5,000","$48,050"
Volkswagen,ID.4,,332 km,"$5,000","$48,495"
Mazda,MX-30 GT,,161 km,"$5,000","$47,650"
Chevrolet,Equinox 2RS FWD,,513 km,"$5,000","$49,999"
Tesla,Model 3 RWD,,438 km,"$5,000","$49,990"
Toyota,bZ4X LE,,406 km,"$5,000","$49,990"
Chevrolet,Equinox 3LT FWD,,513 km,"$5,000","$50,899"
Toyota,RAV4 Prime SE AWD,68 km,979 km,"$5,000","$51,150"
Chevrolet,Equinox 2LT AWD,,459 km,"$5,000","$51,699"
Chevrolet,Equinox 3RS FWD,,513 km,"$5,000","$52,399"
Nissan,Ariya Engage FWD,,348 km,"$5,000","$52,998"
Volkswagen,ID.4 Pro,,468 km,"$5,000","$52,995"
Chevrolet,Equinox 2RS AWD,,459 km,"$5,000","$53,499"
VinFast,VF8 Eco,,425 km,"$5,000","$53,600"
Chevrolet,Equinox 3LT AWD,,459 km,"$5,000","$54,399"
Tesla,Model Y Standard Range RWD,,418 km,"$5,000","$53,990"
Alfa Romeo,Tonale Sprint PHEV,53 km,573 km,"$5,000","$54,865"
Ford,Mustang Mach E Select Standard Range RWD,,402 km,"$5,000","$54,995"
Hyundai,IONIQ 5 Preferred Long Range,,488 km,"$5,000","$54,990"
Hyundai,IONIQ 6 Preferred Long Range,,581 km,"$5,000","$54,999"
Toyota,bZ4X XLE,,367 km,"$5,000","$55,050"
Volvo,S60 Recharge Core,64 km,856 km,"$5,000","$54,950"
Chevrolet,Equinox 3RS AWD,,459 km,"$5,000","$55,899"
Dodge,Hornet R/T,53 km,573 km,"$5,000","$55,745"
Kia,EV6 Wind RWD,,499 km,"$5,000","$55,995"
Toyota,RAV4 Prime XSE AWD,68 km,950 km,"$5,000","$55,990"
Subaru,Solterra AWD,,359 km,"$5,000","$56,495"
BMW,3 Series 330e,35 km,503 km,"$2,500","$54,900"
Chevrolet,Blazer EV LT eAWD,,449 km,"$5,000","$56,999"
Ford,Mustang Mach E Select Standard Range AWD,,370 km,"$5,000","$56,995"
Mazda,CX-90 GS,42 km,789 km,"$2,500","$54,900"
Volkswagen,ID.4 Pro AWD,,423 km,"$5,000","$57,995"
Hyundai,IONIQ 6 Preferred Long Range AWD,,509 km,"$5,000","$58,299"
Kia,EV6 Land AWD,,454 km,"$5,000","$58,495"
Ford,Mustang Mach E Premium Standard Range RWD,,402 km,"$5,000","$58,995"
VinFast,VF8 Plus,,356 km,"$5,000","$59,200"
Volvo,EX30 Ultra Single Motor Extended Range,,420 km,"$5,000","$59,100"
Chrysler,Pacifica PHEV Select,51 km,835 km,"$5,000","$59,995"
Kia,EV9 Light RWD,,370 km,"$5,000","$59,995"
Nissan,Ariya Evolve E-4ORCE,,330 km,"$5,000","$59,998"
Tesla,Model 3 Long Range AWD,,549 km,"$5,000","$59,990"
Volvo,C40 Recharge Single Motor,,478 km,"$5,000","$59,950"
Volvo,EC40 Core Single Motor,,408 km,"$5,000","$59,950"
Volvo,XC40 Recharge Single Motor,,472 km,"$5,000","$59,950"
Volvo,XC60 Recharge Core,58 km,896 km,"$5,000","$59,950"
Ford,Mustang Mach E Premium Standard Range AWD,,370 km,"$5,000","$60,995"
Ford,Mustang Mach E Select Extended Range AWD,,483 km,"$5,000","$60,995"
BMW,3 Series 330e xDrive,34 km,486 km,"$2,500","$58,900"
Dodge,Hornet R/T Plus PHEV,53 km,573 km,"$5,000","$61,745"
Volvo,EX30 Ultra Twin Motor Performance,,402 km,"$5,000","$62,100"
Jeep,Grand Cherokee PHEV 4xe Anniversary Edition,42 km,761 km,"$2,500","$59,995"
Jeep,Wrangler PHEV 4xe 4-Door Sport S,35 km,592 km,"$2,500","$59,995"
Alfa Romeo,Tonale Veloce PHEV,53 km,573 km,"$5,000","$63,290"
Ford,Mustang Mach E Premium Extended Range RWD,,515 km,"$5,000","$62,995"
Kia,EV9 Wind RWD,,489 km,"$5,000","$62,995"
Lexus,NX 450h+,61 km,835 km,"$5,000","$63,186"
Nissan,Ariya Evolve+ FWD,,465 km,"$5,000","$62,998"
BMW,i4 eDrive40,,484 km,"$5,000","$63,990"
Chevrolet,Blazer EV RS eAWD,,449 km,"$5,000","$63,999"
Chevrolet,Blazer EV RS eRWD,,521 km,"$5,000","$63,999"
Volvo,C40 Recharge Twin Motor,,414 km,"$5,000","$63,500"
Volvo,EC40 Core Twin Motor,,431 km,"$5,000","$63,500"
Volvo,XC40 Recharge Twin Motor,,409 km,"$5,000","$63,500"
Audi,e-tron GT quattro,,399 km,$0,"$134,315"
Audi,Q4 e-tron 55 quattro,,415 km,"$5,000","$64,950"
Audi,Q4 Sportback e-tron 55 quattro,,415 km,$0,"$73,900"
Audi,Q5 Q5 55 TFSI e quattro Technik S tronic,39 km,634 km,$0,"$76,865"
Audi,Q6 e-tron,,494 km,$0,"$80,445"
Audi,Q8 e-tron quattro,,459 km,$0,"$92,800"
Audi,Q8 Sportback e-tron quattro,,476 km,$0,"$96,100"
Audi,RS e-tron GT quattro,,399 km,$0,"$184,615"
