handle,make,model,trim,fuel,msrp,doors,horsepower,acceleration,model_year,form_factor,battery_capacity,ac_charging_power,dc_charging_power,seats_min,seats_max,cargo_volume_min,cargo_volume_max,electric_range,total_range,electric_efficiency,gvwr,curb_weight,display_name,drivetrain,fossil_fuel_efficiency,locally_available,plug_types,towing_capacity
Acura_ZDX_A-Spec_AWD_BEV_2024_CA,Acura,ZDX,A-Spec,BEV,84990,4,490,5.5,2024,SUV,102,11.0,190.0,2,5,793,1722,489,489,24.0,,2678.0,ZDX A-Spec,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Acura_ZDX_Type_S_BEV_2024_CA,Acura,ZDX,Type S,BEV,91490,4,500,5.0,2024,SUV,102,11.0,190.0,2,5,793,1722,447,447,27.0,,2169.0,ZDX Type S,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Alfa_Romeo_Tonale_PHEV_2024_CA,Alfa Romeo,Tonale,Sprint PHEV,PHEV,54865,4,285,6.0,2024,SUV,17,7.0,0.0,5,5,648,1430,53,573,27.0,2419.0,1875.0,Tonale Sprint PHEV,All-Wheel Drive,8.0,1,['J1772'],
Alfa_Romeo_Tonale_Veloce_PHEV_2024_CA,Alfa Romeo,Tonale,Veloce PHEV,PHEV,63290,4,285,6.2,2024,SUV,17,7.0,0.0,2,5,385,1430,53,573,27.0,2419.0,2004.0,Tonale Veloce PHEV,All-Wheel Drive,8.0,1,['J1772'],
Audi_e-tron_GT_BEV_2024_CA,Audi,e-tron GT,quattro,BEV,134315,4,523,4.1,2024,Sedan,93,10.0,270.0,5,5,405,405,399,399,25.0,2840.0,2295.0,e-tron GT quattro,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Audi_Q4_e-tron_45_RWD_BEV_2024_CA,Audi,Q4 e-tron,45 RWD,BEV,59950,4,280,6.6,2024,Crossover,82,11.0,175.0,5,5,520,1490,463,463,18.0,2660.0,2070.0,Q4 e-tron 45 RWD,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
Audi_Q4_e-tron_55_quattro_BEV_2024_CA,Audi,Q4 e-tron,55 quattro,BEV,64950,4,335,5.3,2024,Crossover,82,11.0,175.0,5,5,520,1490,415,415,20.0,2750.0,2160.0,Q4 e-tron 55 quattro,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Audi_Q4_Sportback_e-tron_55_quattro_BEV_2024_CA,Audi,Q4 Sportback e-tron,55 quattro,BEV,73900,4,295,5.3,2024,Crossover,82,10.0,175.0,5,5,535,1460,415,415,21.0,2760.0,2235.0,Q4 Sportback e-tron 55 quattro,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Audi_Q5_55_TFSIe_quattro_Technik_S_tronic_PHEV_2024_CA,Audi,Q5,Q5 55 TFSI e quattro Technik S tronic,PHEV,76865,4,362,5.3,2024,Crossover,17,8.0,,2,5,757,1444,39,634,36.0,2660.0,2110.0,Q5 Q5 55 TFSI e quattro Technik S tronic,All-Wheel Drive,9.0,1,['J1772'],
Audi_Q6_e-tron_BEV_2025_CA,Audi,Q6 e-tron,,BEV,80445,4,456,5.1,2025,Crossover,100,10.0,270.0,2,5,569,1706,494,494,21.0,2930.0,2390.0,Q6 e-tron,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",2400.0
