Station Name,Street Address,City,State,Zip,Latitude,Longitude,EV Connector Types,EV Network,Status,Open Date
Ramada,1319 2nd St W,Brooks,AB,T1R 1P7,50.585242,-111.898615,J1772,Non-Networked,E,2012-02-01
Davis Chevrolet,149 E Lake Crescent NE,Airdrie,AB,T4A 2H9,51.288119,-113.998284,J1772,Non-Networked,E,2015-01-15
Gasonic Instruments,8-823 41st Ave NE,Calgary,AB,T2E 6Y3,51.092856,-114.043029,J1772,Non-Networked,E,2015-04-15
International Motor Cars,7220 Railway St SE,Calgary,AB,T2H 3A8,50.990495,-114.042414,J1772,Non-Networked,E,2017-03-15
Residence Inn,3710 Market St SE,Calgary,AB,T3M 2P2,50.88028293795556,-113.9558734539673,J1772,Non-Networked,E,2017-02-01
Platinum Mitsubishi,2720 Barlow Trail NE,Calgary,AB,T1Y 1A1,51.07626273694107,-114.0002597533035,J1772,Non-Networked,E,2016-05-16
Nissan Sorel-Tracy,4995 rue Saint-Laurent,Sorel-Tracy,QC,J3R 5S8,46.024209,-73.154564,J1772,Non-Networked,E,2011-03-15
Red River College Polytechnic,2055 Notre Dame Ave,Winnipeg,MB,R3H 0J9,49.9193337685111,-97.20904312233733,"CHADEMO, J1772, J1772COMBO, NEMA520",Non-Networked,E,2019-09-01
Amosphere Complexe Hotelier,1031 Route 111 E,Amos,QC,J9T 1N2,48.55973356037567,-78.10465139021301,J1772,Non-Networked,E,2014-02-15
Assurance Romeo Bessette et Fils Inc,815 rue Plante,St-Jean-sur-Richelieu,QC,J3A 1M8,45.327381,-73.272159,J1772,Non-Networked,E,2013-03-15
Balls Falls Centre for Conservation,3292 Sixth Ave,Lincoln,ON,L0R 1S0,43.133157,-79.386041,J1772,Non-Networked,E,2017-02-01
Auberge la Goeliche,22 rue du Quai,St-Petronille,QC,G0A 4C0,46.845153,-71.131891,J1772,Non-Networked,E,2014-08-15
BMR Yamachiche,1031 boul. Duchesne,Yamachiche,QC,G0X 3L0,46.29013734122007,-72.83629217063901,J1772,Non-Networked,E,2015-08-15
Baie-des-Sables,2370 Ch du Lac,Lac Megantic,QC,G6B 2S5,45.58851037045203,-70.92859286502075,J1772,Non-Networked,E,2013-02-15
Best Western - Belleville,387 N Front St,Belleville,ON,K8P 3C8,44.189215,-77.396476,J1772,Non-Networked,E,2015-02-01
Best Western - Cairn Croft,6400 Lundy's Ln,Niagara Falls,ON,L2G 6H2,43.088776,-79.101054,J1772,Non-Networked,E,2012-01-15
Best Western Plus - Cobourg Inn & Convention Centre,930 Burnham St,Cobourg,ON,K9A 2X9,43.972091,-78.191994,J1772,Non-Networked,E,2014-06-15
