ad_link,title,price,description,mileage,transmission,location,time_posted
https://www.kijiji.ca/v-cars-trucks/brantford/2017-kia-soul-ev-plug-in-electric/m8784397,2017 Kia Soul EV Plug In Electric,"$16,499",Advertised pricing is based on the purchase being financed through Brantford Honda. Cash prices are higher. Speak to a Sales representative for detailed options. This Kia Soul EV has a strong ...,"13,359 km",Automatic,Brantford,
https://www.kijiji.ca/v-cars-trucks/london/2021-porsche-taycan-tech-premium-off-road-design/m6945851,2021 Porsche Taycan Tech|Premium|Off-Road Design,"$109,998","Our Taycan 4 Cross Turismo is finished in Cherry metallic with Black/Chalk beige smooth finish leather plus the additions of seat belts bramble, 20 inch off-road design wheels, PORSCHE electric sport ...","19,970 km",Automatic,London,
https://www.kijiji.ca/v-cars-trucks/guelph/2023-chevrolet-bolt-euv-lt-rue-north-leather-cooled/m9479690,"2023 Chevrolet Bolt EUV LT rue North, Leather, Cooled +","$32,988","Come see this certified 2023 Chevrolet Bolt EUV LT rue North, Leather, Cooled + Heated Seats, Heated Steering, CarPlay + Android, Rear Camera . Its Automatic transmission and engine will keep you ...","20,913 km",Automatic,Guelph,
https://www.kijiji.ca/v-cars-trucks/edmonton/2024-hyundai-ioniq-5-preferred-awd-lane-keep-assist/m9417784,2024 Hyundai IONIQ 5 Preferred | AWD | LANE KEEP ASSIST,Please Contact,"Cash Pricing Incentive applied. Financing subject to On Approved Credit, please contact dealer for details. Sherwood Park Hyundai, AMVIC Licensed Dealer Engine: Electric Safety Equipment Electronic ...",12 km,Automatic,Sherwood Park,
https://www.kijiji.ca/v-cars-trucks/sherbrooke-qc/2024-audi-q4-e-tron/m8670166,2024 Audi Q4 e-tron,"$61,977","""La trousse de certification est disponible pour cette voiture. Voici les grandes lignes de la liste de v�rification de la voiture : Cette voiture b�n�ficie de l'inspection compl�te Audi En plus de ...","17,200 km",Automatic,Sherbrooke,
https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2024-kia-ev6-land-w-gt-line-pkg-1-power-liftgate/m9264961,2024 Kia EV6 Land w/GT-Line Pkg 1 - Power Liftgate,"$63,279","Power Liftgate, Synthetic Leather Seats, 360 Camera, Electric Vehicle, Heated Steering Wheel! As a Premium Kia dealership in Scarborough, we offer a wide selection of new and used Kia vehicles. This ...",50 km,Automatic,Scarborough,
,,"$117,325",,,,,
https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-hyundai-kona-electric-preferred-heated-seats/m9319044,2023 Hyundai Kona Electric Preferred | Heated Seats,"$36,891",The price you see is the financed price only. Visit our website to view the cash purchase price. Come be a part of the 401 Dixie Hyundai Used Vehicle Experience! We have one of the largest selections ...,"19,163 km",Automatic,Mississauga,
https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-hyundai-ioniq-5-preferred-awd-electric/m9235571,2023 Hyundai IONIQ 5 Preferred | AWD | Electric,"$46,593",The price you see is the financed price only. Visit our website to view the cash purchase price. Come be a part of the 401 Dixie Hyundai Used Vehicle Experience! We have one of the largest selections ...,"22,627 km",Automatic,Mississauga,
https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2022-hyundai-ioniq-5-preferred-rwd-electric/m9121299,2022 Hyundai IONIQ 5 Preferred | RWD | Electric,"$44,482",The price you see is the financed price only. Visit our website to view the cash purchase price. Come be a part of the 401 Dixie Hyundai Used Vehicle Experience! We have one of the largest selections ...,"6,609 km",Automatic,Mississauga,
