Make,Model_Version,Electric_Range,Total_Range,Incentives,MSRP,Match_Score,Vehicle_URL
Kia,Niro Plug-In Hybrid EX,55 km,836 km,"$5,000","$38,595",94 /100,https://ev.plugndrive.ca/vehicles/Kia_Niro_EX_PHEV_2024_CA
Fiat,500e Red Edition EV,,227 km,"$5,000","$39,995",92 /100,https://ev.plugndrive.ca/vehicles/Fiat_500e_Red_Edition_BEV_2024_CA
Toyota,Prius Prime SE,72 km,962 km,"$5,000","$39,550",92 /100,https://ev.plugndrive.ca/vehicles/Toyota_Prius_Prime_SE_PHEV_2024_CA
Nissan,LEAF SV,,240 km,"$5,000","$41,748",89 /100,https://ev.plugndrive.ca/vehicles/Nissan_LEAF__BEV_2024_CA
Kia,Sorento Plug-In Hybrid EX,51 km,681 km,"$5,000","$42,975",87 /100,https://ev.plugndrive.ca/vehicles/Kia_Sorento_EX_PHEV_2024_CA
Hyundai,TUCSON Plug-In Hybrid Ultimate,53 km,679 km,"$5,000","$43,999",N/A,https://ev.plugndrive.ca/vehicles/Hyundai_Tucson_Ultimate_Hybrid_AWD_PHEV_2024_CA
Mazda,MX-30 GS,,161 km,"$5,000","$42,650",N/A,https://ev.plugndrive.ca/vehicles/Mazda_MX-30_GS_EV_BEV_2024_CA
Toyota,Prius Prime XSE,72 km,816 km,"$5,000","$44,290",N/A,https://ev.plugndrive.ca/vehicles/Toyota_Prius_Prime_XSE_PHEV_2024_CA
Fiat,500e La Prima EV,,227 km,"$5,000","$44,995",N/A,https://ev.plugndrive.ca/vehicles/Fiat_500e_La_Prima_BEV_2024_CA
Kia,Niro EV Wind,,407 km,"$5,000","$45,595",N/A,https://ev.plugndrive.ca/vehicles/Kia_Niro_EV_BEV_2024_CA
Hyundai,KONA Electric Preferred,,459 km,"$5,000","$46,499",N/A,https://ev.plugndrive.ca/vehicles/Hyundai_Kona_Electric_Preferred_BEV_2025_CA
Kia,Sportage Plug-In Hybrid EX Premium,55 km,687 km,"$5,000","$46,695",N/A,https://ev.plugndrive.ca/vehicles/Kia_Sportage_EX_Premium_PHEV_2024_CA
Ford,Escape Plug-in Hybrid,60 km,831 km,"$5,000","$46,999",N/A,https://ev.plugndrive.ca/vehicles/Ford_Escape_PHEV_2024_CA
Nissan,LEAF SV-PLUS,,342 km,"$5,000","$47,498",N/A,https://ev.plugndrive.ca/vehicles/Nissan_LEAF_SV-PLUS_BEV_2024_CA
